Japanese,English,Kana
通り,"street, road",とおり
亡くなる,"die, pass away",なくんある
夫婦,"husband and wife, married couple",ふうふ
女性,"woman, female",じょせい
森,forest,もり
トラック,truck,トラック
レコード,record,レコード
熱,"heat, fever",ねつ
ページ,page,ページ
踊る,dance,おどる
長さ,length,ながさ
厚さ,thickness,あつさ
秘密,"secret, privacy",ひみつ
